,Cadps2_class,Calb2_class,Cdh13_class,Cnr1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Satb1_class,Snca_class,Sncg_class,Sst_class,Zero
Pnoc,0.11936025186197505,2.3515747510516514,0.00023805039718189698,0.0,0.19855520921116243,0.002291533973268514,1.1020292523338606,0.31302528008966884,0.09858610244413041,1.3465715710000157,0.028134293866988618,0.06786377858586097,1.2081413803340575,0.1460981986444428,4.103777399400916,1.8327666179529392,0.15716479010017856,1.2239286706027375,0.13216959221330268,0.09249564720570404,0.0,0.70526420544722,0.04159417697243786
Prkca,0.13029208731286607,0.5170343381918645,0.29647958601689456,0.07343184611966169,0.20808001137481474,0.0671955979452933,0.33304643007204665,0.050548960049202715,0.14834754910305228,0.08237327822942024,0.2436914564678974,0.5230648410517414,0.21161926195169883,0.10457868948588588,0.1599755781330809,0.0,0.06773657106228373,0.4747792211457605,0.3974456828795898,0.038032761259465586,0.5937006763726514,0.01155719726354755,0.054302312415153375
Pthlh,0.06289352081598511,0.03127422460445258,0.00396515191254979,0.27196642813650984,0.0,0.0,0.004257716704123951,0.13380126279619856,0.0008913667776804626,0.03366401401655419,0.10086063016312272,0.0,0.10489302297286511,0.011023828510587013,0.03309656528258486,0.08638591730243796,8.217018571042208e-05,0.012199972674896798,0.1438177002210501,0.017966812161800245,0.07841329165102827,0.00018503447133944896,0.011376272905895943
Pvalb,0.300241490334029,0.8999145032651072,0.5662242304974426,1.6426775421932391,1.8196236025694164,6.349463725398552,0.010462979397401114,6.595645158137014,0.9662781690048637,0.7906023423293445,1.5390967834816482,0.43436838060692073,0.7536469126259712,0.47701268367506494,0.8679808338937399,13.983841953861393,0.39284331118548826,1.2632967443156649,2.941662235517402,0.2382285843609848,0.6657501765651438,0.41292092151446125,0.14405641339485245
Rab3c,0.022755236498907847,0.0,0.47639026118289995,0.2815603972458525,0.10356149469454115,0.2523536267803311,0.003972174733218011,0.19403301774700935,0.017357000407748856,0.44094596656062934,0.25162172574581354,0.1441861575440261,0.2852177360694979,0.030256562105210074,0.04745535134877261,0.4507121201285137,0.01444657383525144,0.1698157047481824,0.5206433387626374,0.019921780940861156,0.44933500546379895,0.08717701608122606,0.01583175806797279
Rasgrf2,0.045970047961110656,0.0,0.02810158821142994,0.0005578898972393649,0.12200230935583539,0.12465277279208417,0.3824291462308407,0.14089300272960736,0.0016857713241531381,0.08170435631832683,0.13931921557050797,0.0787355791548882,0.0,0.018488230024909538,0.1349469949034087,0.0,0.005540468758840559,0.2230872588295521,0.04453692231073941,0.03625166723815293,0.11024392008234941,0.0,0.004273455260611677
Reln,2.092546353225239,3.0649603821428313,0.650477421801849,4.778924754683214,0.8077514089809944,1.8963615577735238,3.237350736021339,2.6319897112142496,0.29586445360424496,2.0460811015980225,1.978646776816237,1.966933075279365,1.201633184502786,0.42590061935915385,0.2101939228169933,4.382269132670556,3.485163402425196,0.9228972449628919,3.402219880729515,0.9625041122019591,7.680737360728558,1.9665684929975948,0.07233331152238427
Rgs10,2.7528595482951967,2.6718679178168343,5.986577192236433,3.382524172652875,2.0610288535613974,2.0131498197269937,1.7712206565322655,1.1678501556598317,0.20697557638030317,3.9012543756001756,0.6305161765817561,3.8996948408777246,2.5481638884089985,0.41622140907364313,0.9070968661540114,2.7668147334525743,1.608046899985549,1.185300125990917,1.7449568957001096,1.2269744515899919,5.012642810934595,2.2085652537453715,0.1352543660806448
Rgs12,0.12855141916378685,0.0,0.6154427572056516,0.1896816407158782,0.43597344573160357,0.0,0.10674559204525993,0.03974513617084674,0.11555855470831852,0.0,0.10052368438326724,0.35921134717186626,0.026404380986379785,0.03720432068345621,0.023624515353493625,0.012112109866877017,0.0013761564840549215,0.19868916838301248,0.02578207120095316,0.060131165694330815,1.3625872024091439,0.4072573347477187,0.04362335512448284
Rgs4,2.2939499097149096,5.186779458034902,2.8244144359645484,1.3523462165354954,3.9957020601139845,3.499159691326166,4.664858470956577,1.7221606484836325,0.290006320765113,5.9094477126328915,2.2446681443615626,1.0958177810211334,5.1193501682576725,1.0408006475464544,2.5008384297296904,2.273387526435163,0.8859202470514019,3.5586799912138356,3.4083903591512414,2.931599917306462,1.5482305554846956,4.914764258326629,0.24764375069256594
Satb1,0.12234256031610694,0.724680074488812,0.007260564254945978,5.324413883152416,0.7426881376187919,2.0590030062120968,0.6484051472651462,2.7411324234600274,0.5496037493727236,2.530277297292119,2.494970076529159,0.5929682851542725,2.9705876778276905,0.5438972970674095,2.303364410286632,5.5469395977812015,1.7513918129869483,0.33024905564463175,4.18725595937804,1.3789305849321922,0.25962143140577976,2.377107486202379,0.1454552505602666
Sema3c,0.2370357233733409,0.19230832697784042,0.513554538189354,1.4531387477047377,0.43857844106228655,0.2393724126239056,0.12773348788574845,0.3900657300826574,0.047405610192859785,0.30270125745392956,0.3053691372162141,0.13284954692729578,0.5481504199675811,0.09041541900535648,0.4612492103221983,0.0764686254526534,0.46530813844765895,0.14220886739698974,0.3010566308538378,0.17817059848573696,1.0315774155329656,0.007025099574952809,0.04322789454937447
Serpini1,0.41027795777041703,0.89286586560047,0.08004243469638188,3.0978237308446146,1.9848873658141108,1.4526088050390098,0.6496560084503423,2.015111424120584,0.12617055839101657,3.6324661428030383,1.7966762146054305,0.4295859861302809,1.0644979284494471,0.3050297290607052,1.0091534387553862,4.902649378321623,1.274039470049988,0.6915979082705439,2.3506462310002014,0.5385612018468561,0.6479753313344213,2.079578788204052,0.06845524628385234
Slc17a8,0.1165642406207423,0.08523129438575935,0.0,1.0738758845594434,0.02313096390383106,0.1147899022663656,0.09999575197423784,0.09170342672266589,0.0013798266244839587,0.760370279074336,0.03357014670553054,0.2984197121131405,0.24136298499358017,0.0019228761881212543,0.1013753800152932,0.2382353404101265,0.08587038598263405,0.000784086936393197,0.19973999010901614,0.013592385299036159,0.7980993786580396,0.19444830663744633,0.00015825536447952699
Snca,3.5453447088555694,1.186477150554972,8.572240832398645,5.637586712978924,1.921388220776698,2.007518495229735,3.9439981789583998,0.4664395509359712,0.25902237167228814,4.632403703287286,0.7868082418063693,3.743693960205071,2.0248429813301025,0.6897974820082162,2.4253899278630917,0.2953109906563928,2.6787697196176254,1.7542882104140922,1.1680227027355534,4.067843094818943,9.141417220378493,1.2968618459676566,0.19315290341210828
